source,rating,sentiment,review_count,avg_word_count,avg_sentence_count,avg_emotion_intensity,service_issue_count,product_quality_issue_count,delivery_mentioned_count,return_or_claim_count,delivery_fast_count,delivery_normal_count,delivery_slow_count,furniture_soft_count,furniture_cabinet_count,furniture_other_count,furniture_unknown_count,yandexgpt_count
2gis,1.0,negative,1226,82.56933115823817,7.3931484502446985,0.3461800957086169,921,379,512,225,63,25,229,184,516,0,526,0
2gis,2.0,negative,167,89.19161676646706,8.281437125748504,0.21222248360565957,128,60,74,33,11,4,29,26,71,0,70,0
2gis,3.0,neutral,109,75.37614678899082,6.605504587155964,0.14467184205404182,73,39,40,16,5,3,16,22,31,0,56,0
2gis,4.0,positive,202,42.26237623762376,4.217821782178218,0.19436305087549735,0,0,61,12,21,1,22,21,84,0,97,0
2gis,5.0,positive,6429,34.95520298646757,3.968735417638824,0.33473240436994806,0,0,1439,116,492,108,177,1012,2552,1,2864,0
google,1.0,negative,142,12.56338028169014,1.7183098591549295,0.260833480383541,45,14,22,4,0,1,9,8,22,0,112,0
google,2.0,negative,75,9.6,1.6,0.15894969661846425,16,7,3,2,0,0,0,5,4,0,66,0
google,3.0,neutral,270,5.066666666666666,0.8,0.03452148491685942,35,14,3,0,0,0,0,1,3,1,265,0
google,4.0,positive,535,5.194392523364486,0.8990654205607477,0.12209797634514724,0,0,5,0,0,0,1,12,3,0,520,0
google,5.0,positive,1208,6.808774834437086,1.1291390728476822,0.24144527896779375,0,0,37,4,14,2,4,58,52,1,1097,0
yandex,1.0,negative,248,59.17338709677419,5.911290322580645,0.33803121694829064,157,99,84,43,7,1,42,36,89,2,121,0
yandex,2.0,negative,62,28.048387096774192,3.274193548387097,0.16716008979186486,27,19,11,5,1,0,4,7,14,1,40,0
yandex,3.0,neutral,142,15.380281690140846,1.9507042253521127,0.05949849238337402,36,21,8,2,1,1,5,11,7,1,123,0
yandex,4.0,positive,265,14.675471698113208,2.056603773584906,0.13175938035769302,1,1,19,3,1,0,7,14,24,0,227,0
yandex,5.0,positive,1505,21.070431893687708,2.827906976744186,0.27621932953672296,0,0,211,14,61,14,29,144,332,1,1028,0
